Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Manufacture of other non-metallic mineral products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of rice,ISIC Class,Manufacture of paper and paper products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,Manufacture of paper and paper products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,Manufacture of paper and paper products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Social work activities without accommodation,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,Manufacture of paper and paper products,ISIC Division,Veterinary activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Human health activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Residential care activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,Manufacture of paper and paper products,ISIC Division,Social work activities without accommodation,ISIC Division
